"Country" "Total Cases" "Total Deaths" "Mean of new cases" "Mean of new deaths" "Std of new cases" "Std of new deaths"
"Name: Australia" "Total Cases: 6746" "Total Deaths: 90" "Mean new cases: 55.295081967213115" "Mean new deaths: 0.7377049180327869" "Std new cases: 117.08658154937672" "Std new deaths: 1.3775249015374562"
"Name: India" "Total Cases: 33050" "Total Deaths: 1074" "Mean new cases: 273.1404958677686" "Mean new deaths: 8.87603305785124" "Std new cases: 514.1303386267132" "Std new deaths: 17.38321520314634"
"Name: Pakistan" "Total Cases: 15759" "Total Deaths: 346" "Mean new cases: 134.69230769230768" "Mean new deaths: 2.9572649572649574" "Std new cases: 256.54304812987345" "Std new deaths: 6.080484841139758"
"Name: China" "Total Cases: 83944" "Total Deaths: 4637" "Mean new cases: 688.0655737704918" "Mean new deaths: 38.00819672131148" "Std new cases: 1660.0337532051108" "Std new deaths: 122.16872872943362"
"Name: Iran" "Total Cases: 93657" "Total Deaths: 5957" "Mean new cases: 767.6803278688525" "Mean new deaths: 48.82786885245902" "Std new cases: 988.9955524421254" "Std new deaths: 60.131631453053046"
"Name: Belgium" "Total Cases: 47859" "Total Deaths: 7501" "Mean new cases: 392.28688524590166" "Mean new deaths: 61.48360655737705" "Std new cases: 585.6645371494809" "Std new deaths: 109.35409416593504"
"Name: Brazil" "Total Cases: 78162" "Total Deaths: 5466" "Mean new cases: 640.672131147541" "Mean new deaths: 44.80327868852459" "Std new cases: 1267.2450006267936" "Std new deaths: 97.40200749235883"
"Name: Canada" "Total Cases: 51587" "Total Deaths: 2996" "Mean new cases: 422.844262295082" "Mean new deaths: 24.557377049180328" "Std new cases: 648.5947049181009" "Std new deaths: 48.48430762241794"
"Name: Liberia" "Total Cases: 141" "Total Deaths: 16" "Mean new cases: 3.1333333333333333" "Mean new deaths: 0.35555555555555557" "Std new cases: 4.6348482371937685" "Std new deaths: 0.8299933065325822"
"Name: United States Virgin Islands" "Total Cases: 66" "Total Deaths: 4" "Mean new cases: 1.7837837837837838" "Mean new deaths: 0.10810810810810811" "Std new cases: 3.4004504206153428" "Std new deaths: 0.3148000938676784"
"Name: United States" "Total Cases: 1039909" "Total Deaths: 60966" "Mean new cases: 8523.844262295082" "Mean new deaths: 499.72131147540983" "Std new cases: 12870.842184148803" "Std new deaths: 925.5733738884013"
"Name: Tanzania" "Total Cases: 480" "Total Deaths: 16" "Mean new cases: 10.666666666666666" "Mean new deaths: 0.35555555555555557" "Std new cases: 29.5296461204668" "Std new deaths: 1.069314894422753"
"Name: Austria" "Total Cases: 15364" "Total Deaths: 580" "Mean new cases: 125.93442622950819" "Mean new deaths: 4.754098360655738" "Std new cases: 221.28201734830188" "Std new deaths: 7.986881263723891"
"Name: Afghanistan" "Total Cases: 1949" "Total Deaths: 60" "Mean new cases: 17.401785714285715" "Mean new deaths: 0.5357142857142857" "Std new cases: 32.65226557580572" "Std new deaths: 1.361825559522531"
"Name: Turkey" "Total Cases: 117589" "Total Deaths: 3081" "Mean new cases: 2449.7708333333335" "Mean new deaths: 64.1875" "Std new cases: 1666.9515460875118" "Std new deaths: 46.3605923309506"
